nome,preco_atual,descricao,estoque,categoria
Câmera de Segurança IP Wi-Fi,249.90,Câmera IP com visão noturna e detecção de movimento,50,Segurança Eletrônica
Notebook Dell Inspiron 15,3799.00,Notebook com processador Intel i5, 8GB RAM e SSD de 256GB,20,Eletrônicos
Sensor de Presença Infravermelho,69.90,Sensor para automação de iluminação com ajuste de sensibilidade,100,Segurança Eletrônica
Fone de Ouvido Bluetooth JBL,299.00,Fone sem fio com até 20h de bateria e microfone embutido,35,Eletrônicos
Cabo HDMI 2.0 2 Metros,29.90,Cabo HDMI de alta velocidade com suporte a 4K,200,Diversos
Alarme Residencial Intelbras,449.00,Central de alarme com teclado e controle remoto,15,Segurança Eletrônica
Smartphone Samsung Galaxy A15,1299.00,Smartphone com 128GB de armazenamento e câmera tripla,25,Eletrônicos
Tomada Inteligente Wi-Fi,89.90,Controle de energia via app com integração Alexa e Google,60,Diversos
HD Externo 1TB Seagate,369.00,Armazenamento portátil com conexão USB 3.0,40,Eletrônicos
Kit Vídeo Porteiro com Câmera,599.00,Kit com câmera externa e monitor interno para interfone,10,Segurança Eletrônica